,"Направление, специальность, профессия",Итоговая сумма баллов,Год
0,05.03.01 Геология,185.0,2017
1,07.03.01 Архитектура,304.0,2017
2,07.03.03 Дизайн архитектурной среды,292.0,2017
3,08.03.01 Строительство,168.0,2017
4,08.05.01 Строительство уникальных зданий и сооружений,195.0,2017
5,"08.05.03 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",171.0,2017
6,09.03.00 Информатика и вычислительная техника,210.0,2017
7,09.03.02 Информационные системы и технологии,181.0,2017
8,12.03.01 Приборостроение,171.0,2017
9,12.03.04 Биотехнические системы и технологии,190.0,2017
10,13.03.01 Теплоэнергетика и теплотехника,184.0,2017
11,13.03.02 Электроэнергетика и электротехника,228.0,2017
12,15.03.01 Машиностроение,170.0,2017
13,15.03.02 Технологические машины и оборудование,165.0,2017
14,15.03.04 Автоматизация технологических процессов и производств,233.0,2017
15,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",200.0,2017
16,19.03.04 Технология продукции и организация общественного питания,168.0,2017
17,20.03.01 Техносферная безопасность,170.0,2017
18,21.03.01 Нефтегазовое дело,206.0,2017
19,21.03.02 Землеустройство и кадастры,169.0,2017
20,21.05.01 Прикладная геодезия,164.0,2017
21,21.05.02 Прикладная геология,159.0,2017
22,21.05.03 Технология геологической разведки,177.0,2017
23,22.03.01 Материаловедение и технологии материалов,170.0,2017
24,23.03.01 Технология транспортных процессов,192.0,2017
25,23.03.02 Наземные транспортно-технологические комплексы,177.0,2017
26,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,183.0,2017
27,23.05.01 Наземные транспортно-технологические средства,181.0,2017
28,27.03.01 Стандартизация и метрология,168.0,2017
29,27.03.02 Управление качеством,163.0,2017
30,27.03.04 Управление в технических системах,190.0,2017
31,27.03.05 Инноватика,182.0,2017
